2026-07-23 20:50:23 | 02_resolve_smiles | WARNING |   X MEDROXYPROGESTERONE ACETATE: api_error -- API request failed after all retries
2026-07-23 20:50:23 | 02_resolve_smiles | INFO | [22/1211] Resolving: HALOPERIDOL DECANOATE
2026-07-23 20:50:29 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:51 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:55 | 02_resolve_smiles | INFO |   OK HALOPERIDOL DECANOATE -> CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(... (method=exact_pref_name_match, frags=1)
2026-07-23 20:50:55 | 02_resolve_smiles | INFO | [23/1211] Resolving: ESTRADIOL CYPIONATE
2026-07-23 20:51:00 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:07 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:14 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:14 | 02_resolve_smiles | WARNING |   X ESTRADIOL CYPIONATE: api_error -- API request failed after all retries
2026-07-23 20:51:14 | 02_resolve_smiles | INFO | [24/1211] Resolving: Haloperidol Lactate
2026-07-23 20:51:20 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:27 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:34 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:51:34 | 02_resolve_smiles | WARNING |   X Haloperidol Lactate: api_error -- API request failed after all retries
2026-07-23 20:51:34 | 02_resolve_smiles | INFO | [25/1211] Resolving: ZIPRASIDONE MESYLATE
2026-07-23 20:51:37 | 02_resolve_smiles | INFO |   ZIPRASIDONE MESYLATE: salt stripped (5 frags), removed: ['CS(=O)(=O)O', 'O', 'O', 'O']
2026-07-23 20:51:37 | 02_resolve_smiles | INFO |   OK ZIPRASIDONE MESYLATE -> O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl... (method=exact_pref_name_match, frags=5)
2026-07-23 20:51:37 | 02_resolve_smiles | INFO | [26/1211] Resolving: PENICILLIN G PROCAINE
2026-07-23 20:51:58 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:52:19 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:52:42 | 02_resolve_smiles | WARNING | Timeout on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:52:42 | 02_resolve_smiles | WARNING |   X PENICILLIN G PROCAINE: api_error -- API request failed after all retries
2026-07-23 20:52:42 | 02_resolve_smiles | INFO | [27/1211] Resolving: BLEOMYCIN SULFATE
2026-07-23 20:52:48 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:52:55 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:53:02 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:53:02 | 02_resolve_smiles | WARNING |   X BLEOMYCIN SULFATE: api_error -- API request failed after all retries
2026-07-23 20:53:02 | 02_resolve_smiles | INFO | [28/1211] Resolving: POLYMYXIN B SULFATE
2026-07-23 20:53:08 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:53:30 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:53:35 | 02_resolve_smiles | WARNING |   X POLYMYXIN B SULFATE: no_structure --  | No canonical_smiles in ChEMBL response
2026-07-23 20:53:35 | 02_resolve_smiles | INFO | [29/1211] Resolving: ESTROGENS, CONJUGATED
2026-07-23 20:53:56 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:54:18 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:54:40 | 02_resolve_smiles | WARNING | Timeout on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
