query_name,parent_smiles,inchi_key,inchikey_block,cardiotox_label,DICT_Concern,pert_id,sig_ids,match_method
TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,RMMXLENWKUUMAY-UHFFFAOYSA-N,RMMXLENWKUUMAY,1,less,BRD-K73999723,['REP.A025_HA1E_24H:H13'],inchikey
THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,UEJJHQNACJXSKW-UHFFFAOYSA-N,UEJJHQNACJXSKW,1,most,BRD-A93255169,['REP.A027_HA1E_24H:C07'],inchikey
MILTEFOSINE,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,PQLXHQMOHUQAKB-UHFFFAOYSA-N,PQLXHQMOHUQAKB,0,no,BRD-A31811760,['REP.A003_HA1E_24H:D07'],inchikey
DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O,FDKXTQMXEQVLRF-ZHACJKMWSA-N,FDKXTQMXEQVLRF,0,no,BRD-K35520305,['REP.A003_HA1E_24H:N01'],inchikey
ENCORAFENIB,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,CMJCXYNUCSMDBY,1,most,BRD-A56085258,['REP.A014_HA1E_24H:A19'],inchikey
Apalutamide,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,HJBWBFZLDZWPHF-UHFFFAOYSA-N,HJBWBFZLDZWPHF,1,most,BRD-K91308639,['REP.A026_HA1E_24H:I19'],inchikey
GEMCITABINE,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,SDUQYLNIPVEERB-QPPQHZFASA-N,SDUQYLNIPVEERB,1,less,BRD-K15108141,['REP.A010_HA1E_24H:N13'],inchikey
DUTASTERIDE,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,JWJOTENAMICLJG-QWBYCMEYSA-N,JWJOTENAMICLJG,1,less,BRD-K28984613,['REP.A001_HA1E_24H:L01'],inchikey
AMBRISENTAN,COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O,OUJTZYPIHDYQMC-LJQANCHMSA-N,OUJTZYPIHDYQMC,1,less,BRD-K41185545,['REP.A013_HA1E_24H:I01'],inchikey
CABERGOLINE,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,KORNTPPJEAJQIU-KJXAQDMKSA-N,KORNTPPJEAJQIU,1,most,BRD-K86882815,['REP.A021_HA1E_24H:P19'],inchikey
FAMCICLOVIR,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,GGXKWVWZWMLJEH-UHFFFAOYSA-N,GGXKWVWZWMLJEH,1,less,BRD-K45033733,['REP.A019_HA1E_24H:B19'],inchikey
GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,HEMJJKBWTPKOJG,1,less,BRD-K11129031,['REP.A005_HA1E_24H:M19'],inchikey
LAMOTRIGINE,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,PYZRQGJRPPTADH-UHFFFAOYSA-N,PYZRQGJRPPTADH,1,less,BRD-K93460210,['REP.A028_HA1E_24H:E07'],inchikey
DEFERASIROX,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,BOFQWVMAQOTZIW-UHFFFAOYSA-N,BOFQWVMAQOTZIW,0,no,BRD-K97010173,['REP.A028_HA1E_24H:M19'],inchikey
roflumilast,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1,MNDBXUUTURYVHR-UHFFFAOYSA-N,MNDBXUUTURYVHR,1,less,BRD-K03194791,['REP.A012_HA1E_24H:M19'],inchikey
LINAGLIPTIN,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,LTXREWYXXSTFRX-QGZVFWFLSA-N,LTXREWYXXSTFRX,1,most,BRD-K96550715,['REP.A003_HA1E_24H:K01'],inchikey
VEMURAFENIB,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,GPXBXXGIAQBQNI-UHFFFAOYSA-N,GPXBXXGIAQBQNI,1,most,BRD-K56343971,"['LJP005_HA1E_24H:C13', 'REP.A015_HA1E_24H:D13']",inchikey
